Inspection_ID,Product,Production_Line,Machine,Shift,Temperature,Humidity,Voltage,Current,Vibration,Production_Speed,Operator,Material_Type,Defect_Type,Severity,Inspection_Result,Downtime_Minutes,Maintenance_Status,AI_Risk_Score,Inspection_Date
I0019,Power Supply Unit,L3,M4,Morning,49,44,179.13,0.27,0.74,110,OP124,Aluminum,Short Circuit,Low,Pass,31,Critical,11,2025-01-20
I0020,Sensor Module,L3,M2,Morning,40,49,65.16,0.43,3.54,134,OP117,Copper,Missing Component,Low,Pass,34,Good,71,2025-01-21
I0021,PCB,L1,M3,Evening,50,53,227.91,0.6,0.56,117,OP124,Copper,PCB Crack,Medium,Fail,57,Good,48,2025-01-22
I0022,Battery Pack,L3,M2,Morning,39,46,92.7,0.33,2.61,144,OP108,Copper,Short Circuit,Low,Fail,1,Warning,34,2025-01-23
I0023,Battery Pack,L3,M3,Evening,35,49,162.23,2.83,3.9,116,OP128,FR4,Short Circuit,Medium,Pass,10,Warning,86,2025-01-24
I0024,Battery Pack,L4,M5,Night,51,59,123.91,4.58,2.26,146,OP126,Aluminum,Missing Component,Low,Fail,23,Good,53,2025-01-25
I0025,Battery Pack,L4,M3,Morning,42,50,222.92,1.31,2.2,104,OP110,FR4,Loose Connection,Low,Fail,24,Good,38,2025-01-26
I0026,LED Driver,L2,M4,Evening,38,62,161.17,3.31,2.2,144,OP108,FR4,Loose Connection,Medium,Fail,41,Warning,38,2025-01-27
I0027,Relay Module,L4,M4,Morning,48,61,19.32,0.62,3.82,86,OP114,Ceramic,Loose Connection,Low,Pass,19,Critical,92,2025-01-28
I0028,LED Driver,L3,M5,Evening,47,54,84.22,1.44,1.43,123,OP112,Ceramic,Short Circuit,Medium,Pass,48,Warning,70,2025-01-29
I0029,Battery Pack,L4,M5,Evening,53,65,55.38,3.03,2.74,134,OP102,Copper,Open Circuit,Medium,Pass,18,Critical,28,2025-01-30
I0030,Battery Pack,L4,M3,Evening,48,49,112.46,2.21,2.18,98,OP101,Copper,Misalignment,High,Fail,30,Good,85,2025-01-31
I0031,Wi-Fi Module,L3,M3,Evening,43,52,66.22,4.09,4.34,105,OP127,Aluminum,Burn Mark,Medium,Fail,23,Warning,40,2025-02-01
I0032,Battery Pack,L4,M1,Evening,35,51,7.78,4.95,1.93,114,OP103,Aluminum,Open Circuit,Low,Fail,22,Warning,88,2025-02-02
I0033,Display Unit,L1,M4,Morning,48,64,157.58,2.73,4.05,96,OP113,Copper,Loose Connection,Medium,Fail,34,Good,98,2025-02-03
I0034,Microcontroller Board,L2,M1,Evening,50,55,135.54,4.61,3.33,134,OP128,Copper,Missing Component,Low,Fail,52,Good,44,2025-02-04
I0035,Microcontroller Board,L1,M5,Morning,53,63,114.05,3.94,4.49,118,OP112,Aluminum,PCB Crack,Low,Fail,29,Critical,90,2025-02-05
I0036,Battery Pack,L2,M5,Morning,50,52,169.67,0.71,1.84,103,OP114,FR4,PCB Crack,Medium,Fail,45,Warning,44,2025-02-06
I0037,Relay Module,L2,M3,Morning,36,56,27.17,4.97,2.86,137,OP123,Aluminum,Short Circuit,Low,Fail,37,Good,45,2025-02-07
I0038,Display Unit,L2,M4,Morning,40,46,200.22,3.75,1.99,83,OP103,Aluminum,Solder Bridge,Low,Fail,37,Good,67,2025-02-08
I0039,Camera Module,L4,M5,Night,43,45,100.58,0.83,2.11,89,OP112,Copper,Missing Component,Medium,Fail,57,Warning,84,2025-02-09
I0040,PCB,L4,M2,Night,51,41,216.46,2.57,2.39,132,OP109,Aluminum,Loose Connection,Low,Pass,53,Warning,80,2025-02-10
I0041,Relay Module,L1,M5,Morning,40,57,220.94,4.71,0.79,143,OP130,FR4,Burn Mark,Medium,Fail,2,Good,65,2025-02-11
I0042,Microcontroller Board,L2,M2,Morning,49,60,90.89,2.48,2.81,126,OP130,Copper,Open Circuit,Low,Fail,51,Warning,24,2025-02-12
I0043,Microcontroller Board,L2,M4,Night,55,45,200.74,4.07,4.48,96,OP116,FR4,PCB Crack,Low,Pass,22,Good,78,2025-02-13
I0044,Camera Module,L3,M2,Evening,40,49,186.15,2.97,0.5,89,OP120,Aluminum,PCB Crack,Low,Fail,13,Critical,51,2025-02-14
I0045,Power Supply Unit,L1,M4,Morning,49,47,140.65,0.62,3.01,94,OP120,Aluminum,Loose Connection,Low,Fail,44,Good,69,2025-02-15
I0046,Microcontroller Board,L2,M1,Night,38,42,201.98,2.59,2.6,148,OP123,Aluminum,Missing Component,Low,Pass,43,Critical,58,2025-02-16
I0047,LED Driver,L2,M2,Evening,43,62,126.7,1.72,1.83,106,OP110,Aluminum,Missing Component,Low,Fail,12,Critical,24,2025-02-17
I0048,Sensor Module,L2,M5,Night,44,60,49.59,2.98,2.84,126,OP108,Aluminum,Loose Connection,Low,Fail,1,Good,24,2025-02-18
I0049,PCB,L3,M2,Evening,55,60,63.86,3.2,3.04,83,OP106,Aluminum,Missing Component,Low,Pass,43,Good,59,2025-02-19
I0050,Camera Module,L4,M4,Evening,38,53,115.32,2.51,2.37,150,OP121,Copper,Open Circuit,High,Pass,17,Good,22,2025-02-20
I0051,Sensor Module,L1,M2,Night,51,45,77.76,4.13,2.91,135,OP114,FR4,Open Circuit,Medium,Fail,45,Good,99,2025-02-21
I0052,Wi-Fi Module,L4,M5,Morning,46,53,15.83,4.58,1.72,83,OP109,Ceramic,Misalignment,Low,Pass,58,Warning,34,2025-02-22
I0053,Battery Pack,L1,M5,Evening,53,58,11.33,4.63,1.81,83,OP125,FR4,Open Circuit,Low,Fail,44,Good,32,2025-02-23
I0054,Relay Module,L1,M4,Morning,40,46,11.5,3.11,2.68,101,OP125,FR4,Burn Mark,Low,Fail,60,Warning,62,2025-02-24
I0055,LED Driver,L2,M1,Evening,41,60,57.1,0.8,4.28,145,OP118,Ceramic,Loose Connection,Medium,Fail,8,Critical,12,2025-02-25
I0056,Battery Pack,L3,M1,Morning,52,65,113.76,2.44,0.78,106,OP104,Ceramic,Open Circuit,Low,Pass,32,Critical,34,2025-02-26
I0057,LED Driver,L4,M2,Night,46,57,150.31,4.99,2.45,98,OP127,Ceramic,Loose Connection,Low,Pass,1,Critical,36,2025-02-27
I0058,Wi-Fi Module,L3,M4,Morning,54,46,148.58,4.21,2.47,106,OP101,Ceramic,PCB Crack,Low,Pass,48,Warning,84,2025-02-28
I0059,Power Supply Unit,L2,M3,Morning,51,51,137.75,2.94,4.04,113,OP109,Ceramic,Misalignment,High,Fail,10,Critical,15,2025-03-01
I0060,Wi-Fi Module,L2,M2,Morning,45,44,59.39,3.44,0.71,82,OP110,Copper,PCB Crack,Low,Pass,58,Critical,40,2025-03-02
I0061,PCB,L4,M1,Night,48,42,225.61,0.2,3.09,103,OP126,Copper,PCB Crack,Medium,Pass,4,Critical,75,2025-03-03
I0062,LED Driver,L4,M4,Morning,36,60,166.8,2.25,1.57,109,OP128,FR4,Loose Connection,Low,Pass,30,Warning,35,2025-03-04
I0063,Relay Module,L2,M2,Morning,40,59,73.65,3.53,1.41,134,OP125,Copper,Burn Mark,Low,Pass,1,Warning,24,2025-03-05
I0064,Sensor Module,L2,M1,Evening,39,64,148.06,3.42,3.46,123,OP128,Aluminum,Loose Connection,High,Pass,32,Warning,41,2025-03-06
I0065,PCB,L4,M5,Evening,46,51,131.68,1.68,1.04,114,OP128,Copper,Missing Component,Low,Fail,19,Warning,90,2025-03-07
I0066,Sensor Module,L3,M1,Morning,47,49,45.52,1.84,3.35,121,OP116,Ceramic,Burn Mark,Medium,Fail,33,Warning,41,2025-03-08
I0067,Relay Module,L3,M2,Night,38,49,130.68,3.12,1.86,146,OP110,FR4,Missing Component,High,Pass,31,Critical,54,2025-03-09
I0068,Power Supply Unit,L2,M5,Night,40,64,114.34,4.17,2.17,133,OP125,Ceramic,Short Circuit,High,Fail,44,Warning,99,2025-03-10
I0069,PCB,L3,M1,Morning,55,53,137.27,4.95,2.31,105,OP113,Aluminum,Missing Component,Low,Pass,59,Warning,57,2025-03-11
I0070,LED Driver,L3,M2,Night,40,42,177.97,1.48,1.42,115,OP130,Copper,Misalignment,Low,Fail,7,Good,97,2025-03-12
I0071,Sensor Module,L1,M1,Evening,55,63,9.04,2.67,3.3,121,OP126,Ceramic,Missing Component,Low,Fail,9,Warning,64,2025-03-13
I0072,PCB,L4,M3,Evening,40,44,50.88,2.46,4.33,116,OP116,Ceramic,Open Circuit,Low,Pass,7,Critical,65,2025-03-14
I0073,Camera Module,L1,M5,Evening,40,51,80.16,4.9,3.22,131,OP111,Ceramic,Missing Component,Medium,Fail,29,Good,97,2025-03-15
I0074,Power Supply Unit,L2,M2,Evening,39,65,212.29,3.92,2.54,92,OP111,Copper,Loose Connection,High,Pass,14,Warning,53,2025-03-16
I0075,Battery Pack,L1,M1,Evening,35,46,122.76,3.2,3.06,148,OP128,Copper,Solder Bridge,Low,Fail,5,Warning,46,2025-03-17
I0076,LED Driver,L1,M1,Evening,39,54,199.63,3.92,2.6,97,OP115,Ceramic,Open Circuit,Low,Fail,54,Warning,34,2025-03-18
I0077,Power Supply Unit,L2,M3,Evening,43,50,10.21,3.17,1.53,85,OP108,Copper,Missing Component,Medium,Pass,40,Good,61,2025-03-19
I0078,Camera Module,L3,M1,Night,35,42,218.75,4.83,4.32,123,OP127,FR4,Open Circuit,Low,Fail,17,Good,33,2025-03-20
I0079,Camera Module,L3,M5,Night,55,57,38.99,4.62,3.34,123,OP111,Aluminum,PCB Crack,Low,Pass,8,Warning,100,2025-03-21
I0080,Camera Module,L1,M2,Night,46,49,192.33,1.02,3.6,96,OP110,Copper,PCB Crack,Low,Pass,47,Good,51,2025-03-22
I0081,Battery Pack,L4,M5,Morning,47,41,135.29,3.52,3.68,142,OP114,Copper,Missing Component,High,Pass,34,Warning,88,2025-03-23
I0082,Camera Module,L1,M2,Morning,41,53,48.15,1.28,3.82,137,OP121,FR4,Missing Component,Medium,Pass,7,Good,80,2025-03-24
I0083,Sensor Module,L2,M3,Morning,36,47,229.01,1.69,1.41,93,OP102,Aluminum,Missing Component,Low,Fail,48,Warning,28,2025-03-25
I0084,Camera Module,L4,M1,Morning,42,47,154.66,3.7,3.13,86,OP103,Aluminum,Misalignment,Low,Pass,27,Good,89,2025-03-26
I0085,Camera Module,L3,M2,Night,41,49,166.97,1.49,4.12,108,OP113,Ceramic,Burn Mark,Low,Pass,14,Warning,64,2025-03-27
I0086,PCB,L1,M1,Evening,50,65,88.45,0.93,1.21,111,OP120,Ceramic,Open Circuit,High,Pass,35,Warning,25,2025-03-28
I0087,Wi-Fi Module,L3,M5,Evening,35,42,62.61,0.44,2.64,95,OP101,Copper,Burn Mark,Medium,Pass,49,Good,38,2025-03-29
I0088,Relay Module,L3,M4,Night,46,48,10.7,0.68,1.43,131,OP121,Aluminum,Missing Component,Medium,Fail,16,Critical,38,2025-03-30
I0089,LED Driver,L3,M3,Night,39,46,49.14,2.07,1.72,98,OP103,Ceramic,Short Circuit,High,Fail,41,Critical,21,2025-03-31
I0090,Wi-Fi Module,L3,M4,Morning,36,62,151.86,1.57,0.9,101,OP109,Aluminum,PCB Crack,Low,Fail,55,Critical,91,2025-04-01
I0091,Relay Module,L2,M1,Evening,36,48,14.9,2.64,1.62,98,OP115,Aluminum,Open Circuit,Medium,Pass,55,Good,43,2025-04-02
I0092,Display Unit,L2,M3,Morning,39,62,190.65,4.07,0.67,124,OP129,Ceramic,Solder Bridge,High,Fail,46,Warning,97,2025-04-03
I0093,Display Unit,L3,M3,Morning,37,47,78.42,0.21,2.12,116,OP118,Ceramic,PCB Crack,High,Pass,14,Warning,23,2025-04-04
I0094,Battery Pack,L1,M4,Morning,55,63,39.52,3.46,2.76,136,OP105,Ceramic,Misalignment,Low,Pass,54,Warning,40,2025-04-05
I0095,LED Driver,L4,M2,Morning,37,40,59.77,0.23,0.99,142,OP117,FR4,PCB Crack,Low,Pass,47,Critical,71,2025-04-06
I0096,Relay Module,L4,M3,Night,48,58,65.21,1.13,4.37,126,OP110,Ceramic,PCB Crack,Low,Fail,0,Critical,61,2025-04-07
I0097,Display Unit,L4,M5,Night,53,50,168.09,1.42,0.53,148,OP103,Copper,Misalignment,Medium,Fail,38,Critical,90,2025-04-08
I0098,Camera Module,L3,M5,Morning,41,60,170.9,1.36,3.81,128,OP116,Aluminum,Misalignment,Medium,Pass,60,Critical,52,2025-04-09
I0099,Microcontroller Board,L1,M4,Evening,54,63,133.49,4.15,4.22,141,OP110,Aluminum,PCB Crack,Low,Pass,36,Good,52,2025-04-10
I0100,Display Unit,L2,M5,Evening,53,53,13.95,3.25,4.41,115,OP123,Copper,PCB Crack,Low,Pass,21,Good,52,2025-04-11
I0101,Sensor Module,L2,M1,Night,45,60,15.71,0.95,4.22,144,OP102,FR4,PCB Crack,Medium,Pass,38,Warning,53,2025-04-12
I0102,Relay Module,L4,M5,Night,50,52,176.59,2.93,3.92,120,OP121,Aluminum,Misalignment,Medium,Pass,45,Critical,29,2025-04-13
I0103,Wi-Fi Module,L4,M5,Morning,38,51,37.46,2.19,3.23,128,OP125,Ceramic,Solder Bridge,Low,Pass,38,Warning,87,2025-04-14
I0104,Sensor Module,L3,M5,Evening,39,41,80.73,4.26,3.02,94,OP118,FR4,Short Circuit,Low,Fail,20,Warning,18,2025-04-15
I0105,Power Supply Unit,L1,M3,Morning,37,46,222.18,3.31,1.32,148,OP108,FR4,Solder Bridge,Medium,Fail,24,Critical,68,2025-04-16
I0106,Wi-Fi Module,L3,M5,Evening,46,51,94.44,0.85,3.33,150,OP121,Copper,Solder Bridge,Low,Pass,34,Warning,53,2025-04-17
I0107,Relay Module,L3,M4,Evening,55,43,221.37,3.56,3.5,137,OP116,Copper,Open Circuit,High,Pass,19,Warning,50,2025-04-18
I0108,Camera Module,L4,M3,Night,45,47,161.21,1.9,4.45,101,OP111,Ceramic,Short Circuit,Medium,Pass,34,Critical,55,2025-04-19
I0109,LED Driver,L1,M2,Morning,43,42,71.73,2.31,3.12,93,OP130,Aluminum,Short Circuit,Low,Pass,24,Warning,20,2025-04-20
I0110,Wi-Fi Module,L1,M5,Morning,37,44,164.73,2.71,2.28,144,OP103,FR4,Missing Component,Medium,Pass,7,Critical,53,2025-04-21
I0111,Display Unit,L4,M2,Night,36,54,71.76,1.55,3.21,145,OP129,Copper,Short Circuit,Low,Pass,7,Critical,65,2025-04-22
I0112,Battery Pack,L4,M3,Morning,45,55,25.63,3.64,0.84,114,OP114,Copper,Loose Connection,Low,Fail,29,Warning,92,2025-04-23
I0113,Battery Pack,L2,M1,Morning,36,49,177.09,2.83,1.03,92,OP115,FR4,Solder Bridge,Low,Fail,34,Critical,79,2025-04-24
I0114,Camera Module,L3,M5,Morning,53,48,66.97,0.94,2.36,129,OP103,Aluminum,Loose Connection,Medium,Pass,57,Warning,92,2025-04-25
I0115,Sensor Module,L3,M1,Morning,55,59,164.34,1.67,1.87,118,OP108,Ceramic,Short Circuit,Low,Fail,54,Good,29,2025-04-26
I0116,Power Supply Unit,L2,M2,Morning,54,40,225.95,1.31,0.72,111,OP103,FR4,Open Circuit,Medium,Pass,7,Good,89,2025-04-27
I0117,Display Unit,L1,M2,Evening,49,58,105.59,1.22,3.52,146,OP106,FR4,Burn Mark,Medium,Fail,59,Warning,47,2025-04-28
I0118,Sensor Module,L1,M3,Night,43,60,211.88,3.28,2.32,101,OP105,Ceramic,Burn Mark,Low,Fail,5,Critical,33,2025-04-29
I0119,Microcontroller Board,L1,M3,Evening,45,50,3.34,4.32,3.05,105,OP111,FR4,Open Circuit,High,Pass,4,Critical,84,2025-04-30
I0120,Relay Module,L1,M4,Evening,46,46,45.93,0.82,4.2,94,OP115,FR4,Loose Connection,Medium,Pass,28,Warning,42,2025-05-01
I0121,Power Supply Unit,L4,M5,Morning,42,46,194.6,1.79,4.03,147,OP106,Aluminum,Misalignment,Low,Fail,22,Good,99,2025-05-02
I0122,LED Driver,L4,M3,Morning,47,60,29.12,2.38,2.64,129,OP114,Copper,Burn Mark,Medium,Fail,17,Critical,93,2025-05-03
I0123,LED Driver,L1,M5,Morning,51,58,22.84,4.12,3.47,128,OP107,Copper,Missing Component,Medium,Fail,38,Critical,74,2025-05-04
I0124,Wi-Fi Module,L3,M1,Night,45,63,59.18,3.95,3.81,149,OP111,Ceramic,Missing Component,Low,Pass,7,Warning,92,2025-05-05
I0125,Camera Module,L1,M5,Night,41,59,210.34,3.81,3.89,103,OP108,Aluminum,Solder Bridge,Low,Fail,3,Good,39,2025-05-06
I0126,Power Supply Unit,L3,M3,Evening,42,48,120.02,3.33,3.7,138,OP106,Ceramic,Missing Component,Low,Fail,10,Good,28,2025-05-07
I0127,Microcontroller Board,L2,M5,Night,38,63,225.98,2.32,3.98,96,OP111,Aluminum,Missing Component,Low,Pass,21,Critical,96,2025-05-08
I0128,Microcontroller Board,L2,M4,Night,39,57,228.88,0.49,4.1,139,OP111,Ceramic,Burn Mark,High,Fail,44,Warning,78,2025-05-09
I0129,PCB,L1,M4,Evening,47,59,205.44,2.99,1.83,137,OP117,Copper,Burn Mark,Low,Fail,22,Warning,89,2025-05-10
I0130,Sensor Module,L2,M1,Morning,44,64,15.54,1.23,2.67,133,OP107,Ceramic,Short Circuit,Medium,Fail,28,Warning,92,2025-05-11
I0131,Relay Module,L2,M3,Night,48,61,164.34,4.37,3.97,147,OP105,Copper,Burn Mark,High,Pass,38,Critical,97,2025-05-12
I0132,Microcontroller Board,L3,M4,Night,51,61,108.71,4.75,0.87,130,OP123,Ceramic,PCB Crack,Medium,Pass,11,Good,51,2025-05-13
I0133,LED Driver,L1,M2,Evening,53,50,98.25,1.68,2.33,118,OP112,Aluminum,PCB Crack,High,Pass,59,Critical,48,2025-05-14
I0134,Power Supply Unit,L4,M4,Morning,37,44,145.49,2.23,4.41,93,OP111,Aluminum,Missing Component,Medium,Fail,9,Good,42,2025-05-15
I0135,LED Driver,L2,M2,Morning,45,61,127.64,2.05,2.44,106,OP105,Ceramic,Short Circuit,Low,Pass,55,Warning,89,2025-05-16
I0136,PCB,L2,M1,Night,48,58,34.86,2.25,1.41,103,OP123,Ceramic,Misalignment,Low,Fail,12,Warning,89,2025-05-17
I0137,Power Supply Unit,L2,M1,Night,36,46,53.59,1.93,1.53,138,OP111,FR4,Misalignment,Low,Pass,3,Good,14,2025-05-18
I0138,Microcontroller Board,L4,M2,Morning,49,64,119.5,2.9,2.06,98,OP113,Ceramic,Misalignment,Low,Fail,5,Warning,69,2025-05-19
I0139,Camera Module,L2,M2,Evening,49,49,87.55,4.74,1.43,101,OP114,FR4,Missing Component,Low,Pass,24,Critical,21,2025-05-20
I0140,Relay Module,L3,M1,Night,55,58,198.59,2.82,3.5,100,OP129,FR4,Short Circuit,Medium,Fail,38,Critical,88,2025-05-21
I0141,Microcontroller Board,L1,M1,Morning,36,49,162.25,4.9,2.3,126,OP128,Copper,Solder Bridge,Low,Pass,10,Warning,88,2025-05-22
I0142,Microcontroller Board,L3,M2,Evening,50,65,67.43,0.22,2.87,88,OP105,Copper,Solder Bridge,Low,Pass,56,Good,61,2025-05-23
I0143,Display Unit,L1,M3,Morning,54,61,175.93,3.45,2.52,92,OP122,Copper,Short Circuit,Low,Pass,7,Critical,22,2025-05-24
I0144,Camera Module,L4,M1,Morning,40,53,164.61,4.34,3.71,103,OP124,FR4,PCB Crack,High,Fail,11,Warning,89,2025-05-25
I0145,Display Unit,L4,M2,Night,42,50,95.32,2.29,2.56,92,OP126,Ceramic,Missing Component,Low,Pass,15,Critical,22,2025-05-26
I0146,Camera Module,L1,M1,Night,39,49,191.88,0.67,3.18,150,OP126,Copper,Solder Bridge,Medium,Fail,26,Warning,21,2025-05-27
I0147,Sensor Module,L3,M3,Night,46,61,19.23,4.66,2.84,129,OP122,FR4,Short Circuit,Low,Pass,20,Warning,95,2025-05-28
I0148,Microcontroller Board,L2,M2,Morning,42,50,114.89,2.59,2.71,100,OP127,FR4,Solder Bridge,Low,Pass,23,Good,62,2025-05-29
I0149,LED Driver,L3,M1,Morning,49,49,15.98,4.02,2.69,80,OP126,Ceramic,Short Circuit,High,Pass,36,Good,70,2025-05-30
I0150,Display Unit,L1,M2,Evening,49,51,90.15,0.92,2.75,148,OP115,Ceramic,PCB Crack,High,Pass,48,Critical,41,2025-05-31
I0151,Battery Pack,L2,M5,Evening,41,57,126.77,3.86,0.89,130,OP117,Aluminum,Misalignment,Medium,Fail,11,Good,98,2025-06-01
I0152,Power Supply Unit,L2,M3,Night,42,48,27.7,3.42,3.1,82,OP112,FR4,Misalignment,Low,Pass,18,Warning,60,2025-06-02
I0153,Battery Pack,L3,M2,Night,35,55,63.55,3.18,3.78,83,OP108,Aluminum,Loose Connection,Low,Fail,6,Warning,39,2025-06-03
I0154,Power Supply Unit,L2,M2,Night,46,53,181.4,2.0,2.8,150,OP117,Aluminum,Misalignment,High,Fail,13,Warning,96,2025-06-04
I0155,Power Supply Unit,L3,M5,Evening,46,63,162.14,2.46,4.48,100,OP128,FR4,Open Circuit,Low,Fail,23,Good,95,2025-06-05
I0156,Relay Module,L1,M2,Evening,38,54,202.05,2.47,2.43,80,OP107,FR4,PCB Crack,Low,Pass,43,Critical,38,2025-06-06
I0157,PCB,L1,M4,Morning,55,52,220.2,4.73,0.63,142,OP106,FR4,Burn Mark,Medium,Fail,36,Good,56,2025-06-07
I0158,Camera Module,L4,M2,Morning,37,51,54.76,3.49,1.86,93,OP108,Copper,Loose Connection,High,Pass,0,Warning,17,2025-06-08
I0159,Relay Module,L1,M5,Evening,43,44,11.96,3.08,2.55,86,OP128,FR4,Missing Component,High,Pass,59,Warning,70,2025-06-09
I0160,Camera Module,L2,M5,Morning,45,55,115.16,0.85,0.9,131,OP128,FR4,Solder Bridge,Low,Fail,39,Warning,22,2025-06-10
I0161,Power Supply Unit,L2,M4,Evening,49,47,135.71,0.41,1.45,124,OP103,Copper,PCB Crack,Medium,Pass,38,Good,36,2025-06-11
I0162,Power Supply Unit,L2,M1,Night,36,40,209.3,1.03,3.35,124,OP103,FR4,Misalignment,Low,Pass,41,Good,30,2025-06-12
I0163,Microcontroller Board,L3,M4,Morning,38,54,28.15,3.53,3.89,93,OP121,Copper,Solder Bridge,Medium,Pass,37,Good,38,2025-06-13
I0164,Battery Pack,L4,M1,Morning,40,52,170.59,0.21,1.75,127,OP105,Aluminum,PCB Crack,High,Pass,41,Warning,86,2025-06-14
I0165,Microcontroller Board,L2,M3,Evening,50,56,27.38,4.87,3.32,133,OP107,Aluminum,Burn Mark,Low,Fail,59,Good,93,2025-06-15
I0166,Battery Pack,L4,M1,Morning,41,62,192.17,2.59,3.16,92,OP113,Aluminum,Burn Mark,Low,Pass,60,Warning,53,2025-06-16
I0167,Relay Module,L4,M4,Evening,55,50,197.64,1.39,2.02,107,OP108,FR4,Missing Component,Medium,Pass,53,Good,73,2025-06-17
I0168,Power Supply Unit,L4,M5,Night,40,60,112.8,4.47,1.09,116,OP118,Copper,Misalignment,Low,Fail,4,Critical,71,2025-06-18
I0169,Camera Module,L3,M4,Morning,46,43,198.75,3.29,0.59,137,OP108,Aluminum,Open Circuit,Medium,Pass,0,Good,55,2025-06-19
I0170,PCB,L2,M1,Evening,49,60,116.1,0.49,4.21,149,OP121,Aluminum,Misalignment,Medium,Pass,8,Good,33,2025-06-20
I0171,LED Driver,L2,M5,Night,54,45,23.57,3.63,3.67,83,OP117,Ceramic,Burn Mark,Low,Pass,42,Critical,63,2025-06-21
I0172,Camera Module,L2,M1,Morning,48,57,155.95,2.7,3.38,130,OP108,Copper,Misalignment,Low,Fail,52,Critical,61,2025-06-22
I0173,Display Unit,L4,M4,Night,41,49,54.08,1.73,3.12,130,OP118,Copper,Burn Mark,Low,Pass,53,Warning,100,2025-06-23
I0174,Microcontroller Board,L4,M5,Evening,38,63,28.29,3.61,2.74,149,OP103,Ceramic,Burn Mark,Low,Fail,46,Warning,14,2025-06-24
I0175,Relay Module,L4,M2,Night,38,61,41.06,3.65,1.44,88,OP101,FR4,Misalignment,Low,Fail,35,Good,22,2025-06-25
I0176,PCB,L1,M3,Night,49,57,159.72,0.47,1.52,90,OP125,Aluminum,Missing Component,Low,Pass,27,Warning,48,2025-06-26
I0177,Microcontroller Board,L1,M1,Evening,35,49,129.45,3.09,4.15,144,OP108,FR4,Burn Mark,Medium,Pass,24,Critical,38,2025-06-27
I0178,Display Unit,L3,M1,Morning,52,46,229.12,3.51,3.66,104,OP122,Copper,Short Circuit,Low,Fail,2,Warning,39,2025-06-28
I0179,Microcontroller Board,L3,M2,Night,50,62,43.08,4.45,3.49,108,OP105,Aluminum,Loose Connection,Low,Pass,8,Warning,27,2025-06-29
I0180,Battery Pack,L1,M3,Morning,52,59,90.52,1.49,2.16,136,OP119,FR4,Solder Bridge,Low,Pass,58,Warning,43,2025-06-30
